316130;ADM202;1
316130;ADMF52;1
316130;ADMF54;1
316130;ADMF56;1
316130;DIR159;1
316130;FCH001;1
316130;MAT013;1
316130;ADM170;2
316130;ADM203;2
316130;ADM218;2
316130;DIR161;2
316130;ECO155;2
316130;MAT020;2
316130;ADM223;3
316130;ADM226;3
316130;ADMF53;3
316130;ADMF59;3
316130;DIR164;3
316130;ECO142;3
316130;MAT191;3
316130;ADM150;4
316130;ADM172;4
316130;ADM173;4
316130;ADMF55;4
316130;IPSA01;4
316130;MAT023;4
316130;ADM149;5
316130;ADM174;5
316130;ADM177;5
316130;ADM211;5
316130;ADMB81;5
316130;ADMF72;5
316130;ADM221;6
316130;ADMF50;6
316130;ADMF58;6
316130;ADM154;7
316130;ADM179;7
316130;ADM204;7
316130;ADM222;7
316130;ADM227;7
316130;ADMB80;7
316130;ADMF73;7
316130;ADM175;8
316130;ADM181;8
316130;ADMF60;8
316130;ADM224;9
187140;ARQA14;1
187140;ARQA15;1
187140;ARQA16;1
187140;ARQA18;1
187140;ARQA19;2
187140;ARQA20;2
187140;ARQA24;2
187140;ARQA21;3
187140;ARQA22;3
187140;ARQA23;3
187140;ARQA25;3
187140;ARQA26;4
187140;ARQA27;4
187140;ARQA29;4
187140;ARQA28;5
187140;ARQA33;5
187140;ARQA34;5
187140;ARQA35;5
187140;ARQA36;6
187140;ARQA37;6
187140;ARQA38;6
187140;ARQA40;7
187140;ARQA41;7
187140;ARQA42;7
187140;ARQA46;7
187140;ARQA43;8
187140;ARQA44;8
187140;ARQA45;8
187140;ARQA39;9
187140;ARQA47;9
187140;ARQA48;9
187140;ARQA49;9
187140;ARQA50;10
187140;ARQA51;10
187140;ARQA52;10
187140;ARQA53;11
187140;ARQA54;11
187140;ARQA55;11
187140;ARQA56;11
187140;ARQA57;12
101140;ARQ016;1
101140;ARQ018;1
101140;ARQ022;1
101140;ARQ051;1
101140;FCH043;1
101140;ARQ019;2
101140;ARQ020;2
101140;ARQ021;2
101140;FIS130;2
101140;ARQ023;3
101140;ARQ024;3
101140;ARQ025;3
101140;ARQ026;3
101140;ENG021;3
101140;ENG022;3
101140;ARQ027;4
101140;ARQ030;4
101140;ARQ046;4
101140;ENG023;4
101140;ENG025;4
101140;ARQ031;5
101140;ARQ032;5
101140;ARQ033;5
101140;ARQ034;5
101140;ARQ035;5
101140;ENG024;5
101140;ARQ036;6
101140;ARQ037;6
101140;ARQ038;6
101140;ARQ039;6
101140;ARQ040;6
101140;ARQ029;7
101140;ARQ041;7
101140;ARQ042;7
101140;ARQ043;8
101140;ARQ045;9
381140;ICI011;1
381140;ICIA06;1
381140;ICIA07;1
381140;ICIA08;1
381140;ICIA05;2
381140;ICIA10;2
381140;ICIA13;2
381140;ICIA39;2
381140;LET044;2
381140;ICI223;3
381140;ICIA09;3
381140;ICIA11;3
381140;LET053;3
381140;LET400;3
381140;ICIA12;4
381140;ICIA14;4
381140;ICIA15;4
381140;ICIA16;4
381140;ICIA17;5
381140;ICI024;6
381140;ICIA41;6
381140;ICIB01;7
381140;ICIB02;8
317140;ICI011;1
317140;ICIA06;1
317140;ICIA07;1
317140;ICIA08;1
317140;ICIA05;2
317140;ICIA10;2
317140;ICIA13;2
317140;ICIA39;2
317140;LET044;2
317140;ICI223;3
317140;ICIA09;3
317140;ICIA11;3
317140;LET053;3
317140;LET400;3
317140;ICIA12;4
317140;ICIA14;4
317140;ICIA15;4
317140;ICIA16;4
317140;ICIA17;5
317140;ICI024;6
317140;ICIA41;6
317140;ICIB01;7
317140;ICIB02;8
506140;TEAA14;1
506140;TEAA15;1
506140;TEAA21;1
506140;TEAA16;2
506140;TEAA20;2
506140;TEAA17;3
506140;TEAA18;3
506140;TEA192;4
506140;TEA277;4
506140;TEAA24;4
506140;TEAA22;5
506140;TEAA23;5
506140;TEA276;6
506140;TEAA25;6
506140;TEA259;7
506140;TEAA26;7
506140;TEAA44;8
510140;TEAA14;1
510140;TEAA15;1
510140;TEAA21;1
510140;TEAA16;2
510140;TEAA20;2
510140;TEAA17;3
510140;TEAA18;3
510140;TEA192;4
510140;TEA277;4
510140;TEAA27;4
510140;TEAA22;5
510140;TEAA28;5
510140;TEA276;6
510140;TEAA29;6
510140;TEA259;7
510140;TEAA30;7
510140;TEAA45;8
