ARQA26;ESTRUTURAS I                                                ;68
ARQA27;ESTÉTICA                                                    ;68
ARQA29;FÍSICA DO CONFORTO AMBIENTAL                                ;68
ARQA28;CONFORTO DO AMBIENTE CONSTRUÍDO I                           ;68
ARQA33;OFICINA DE PROJETO III                                      ;272
ARQA34;MATERIAIS DE CONSTRUÇÃO I                                   ;68
ARQA35;TOPOGRAFIA INSTRUMENTAL                                     ;34
ARQA36;HISTÓRIA DA ARQUITETURA II                                  ;68
ARQA37;INFORMÁTICA E DESENHO II                                    ;68
ARQA38;ESTRUTURAS II                                               ;68
ARQA40;MATERIAIS DE CONSTRUÇÃO II                                  ;68
ARQA41;CONFORTO DO AMBIENTE CONSTRUÍDO II                          ;68
ARQA42;HISTÓRIA DA ARQUITETURA III                                 ;68
ARQA46;OFICINA DE PROJETO V                                        ;204
ARQA43;INSTALAÇÕES HIDRO-SANITÁRIAS                                ;68
ARQA44;ESTRUTURAS III                                              ;68
ARQA45;CONSTRUÇÃO I                                                ;68
ARQA39;OFICINA DE PROJETO IV                                       ;272
ARQA47;ESTRUTURAS IV                                               ;68
ARQA48;INSTALAÇÕES ELÉTRICAS E DE SEGURANÇA                        ;68
ARQA49;CONSTRUÇÕES II                                              ;68
ARQA50;ESTUDOS SÓCIO-AMBIENTAIS                                    ;68
ARQA51;HISTÓRIA DA ARQUITETURA IV                                  ;68
ARQA52;TECNOLOGIA DA CONSERVAÇÃO E DO RESTAURO                     ;68
ARQA53;PAISAGISMO                                                  ;68
ARQA54;ORGANIZAÇÃO DO TRABALHO                                     ;68
ARQA55;LEGISLAÇÃO E ÉTICA                                          ;34
ARQA56;ESTÁGIO SUPERVISIONADO                                      ;170
ARQA57;TRABALHO FINAL DE GRADUAÇÃO                                 ;204
ARQB27;ARQUITETURAS AFRO-BRASILEIRAS: DISCURSOS, REPRES E PROJETOS ;68
ARQA75;INTRODUÇÃO AO GEOPROCESSAMENTO                              ;34
ARQ010;PERSPECTIVA                                                 ;68
ARQA76;TÓPICOS ESPECIAIS EM ARQUITETURA E URBANISMO                ;34
ARQ016;ATELIER I                                                   ;408
ARQ018;INTRODUCAO  A  ARQUITETURA  E URBANISMO                     ;68
ARQ022;MATEMATICA II                                               ;68
ARQ051;EXPRESSAO GRAFICA                                           ;136
FCH043;ESTETICA - FILOSOFIA DAS ARTES                              ;68
ARQ019;MATEMATICA I                                                ;68
ARQ020;ESTUDOS SOCIAIS E AMBIENTAIS                                ;68
ARQ021;HISTORIA DA ARQUITETURA E URBANISMO  I                      ;68
FIS130;FISICA GERAL I-B                                            ;102
ARQ023;HISTORIA DA  ARQUITETURA CONTEMPORANEA                      ;68
ARQ024;ATELIER II                                                  ;408
ARQ025;CONFORTO AMBIENTAL I                                        ;34
ARQ026;INFORMATICA  APLICADA  A  ARQUITETURA  E  URBANISMO I       ;68
ENG021;MECANICA DAS ESTRUTURAS                                     ;68
ENG022;MATERIAIS DE CONSTRUÇÃO                                     ;102
ARQ027;HISTORIA DA  ARQUITETURA  E URBANISMO  II                   ;68
ARQ030;CONFORTO AMBIENTAL II                                       ;34
ARQ046;ETICA                                                       ;34
ENG023;TECNICAS CONSTRUTIVAS I                                     ;68
ENG025;INTRODUCAO  AOS SISTEMAS  ESTRUTURAIS                       ;102
ARQ031;ATELIER III                                                 ;408
ARQ032;HISTORIA  E.TEORIA DA  ARQUITETURA .BRASILEIRA              ;68
ARQ033;SISTEMAS ESTRUTURAIS I-A                                    ;102
ARQ034;CONFORTO AMBIENTAL III                                      ;34
ARQ035;INFORMATICA  APLICADA  A  ARQUITETURA  E. URBANISMO  II     ;68
ENG024;TÉCNICAS CONSTRUTIVAS II                                    ;68
ARQ036;TECNICAS RETROSPECTIVAS                                     ;68
ARQ037;SISTEMAS ESTRUTURAIS II-A                                   ;102
ARQ038;INSTALACOES I                                               ;51
ARQ039;INSTALACOES II                                              ;51
ARQ040;ORGANIZACAO DO TRABALHO                                     ;34
ARQ029;HISTORIA DO URBANISMO E DO PLANEJAMENTO URBANO              ;68
ARQ041;ATELIER IV                                                  ;408
ARQ042;ATELIER V - PLANEJAMENTO  URBANO E .REGIONAL                ;306
ARQ043;ESTAGIO  CURRICULAR                                         ;136
ARQ045;TRABALHO FINAL DE GRADUACAO                                 ;340
ARQ050;ARQUITETURA: CONTINUIDADE E INOVACÃO                        ;102
ARQ136;COMPUTACAO  GRAFICA  APLICADA  I                            ;102
ARQ133;CROQUIS APLICADO A  PAISAGEM URBANA                         ;90
ARQ004;DESCRITIVA II                                               ;102
ARQ132;DESENHO ARQUITETONICO II                                    ;102
GEO135;FOTOGRAMETRIA, FOTOINTERPRETACAO E CONST DE BLOCOS DIAGRAMAS;85
EBA003;HISTORIA DA ARTE III                                        ;102
ARQ139;INTRODUCAO  A  ARQUITETURA  DA  PAISAGEM                    ;68
ARQ137;INTRODUÇÃO  A  COMPUTAÇÃO  GRÁFICA                          ;102
ARQ044;INTRODUCAO  AO TRABALHO FINAL DE GRADUACAO                  ;51
MAT115;INTRODUCAO AO PROCESSAMENTO DE DADOS                        ;68
ARQ049;LABORATORIO DE CONFORTO AMBIENTAL  III                      ;51
ARQ047;LABORATÓRIO DE CONFORTO AMBIENTAL I                         ;51
ARQ048;LABORATÓRIO DE CONFORTO AMBIENTAL II                        ;51
ARQ142;PRATICAS EM TECNOLOGIAS CONSTRUTIVAS                        ;68
ARQ143;PRÁTICAS EM TECNOLOGIAS INOVADORAS                          ;68
ARQ135;PROGRAMACAO  VISUAL E OS ESPACOS URBANOS E ARQUITETONICOS   ;68
EBA008;TECNICA DA REPRESENTACAO GRAFICA I                          ;85
ARQ141;TÓPICOS DE ARQUITETURA E URBANISMO                          ;68
ICI011;FUNDAMENTOS DA INFORMAÇÃO                                   ;68
ICIA06;HISTÓRIA DOS ARQUIVOS E DOS DOCUMENTOS                      ;68
ICIA07;FORMAÇÃO E ÉTICA DO ARQUIVISTA                              ;34
ICIA08;FUNDAMENTOS DA ARQUIV., BIBLIOTEC. E CIÊNCIA DA INFORMAÇÃO  ;68
ICIA05;ELABORAÇÃO E ORGANIZAÇÃO DO TRABALHO CIENTÍFICO             ;68
ICIA10;ARQUIVOS CORRENTES                                          ;68
ICIA13;TECNOLOGIAS  DA INFORMAÇÃO  ARQUIVÍSTICA                    ;68
ICIA39;ADMINISTRAÇÃO DE UNIDADES DE INFORMAÇÃO                     ;68
LET044;LÍNGUA PORTUGUESA COMO INSTRUMENTO DE COMUNICAÇÃO N-100     ;68
ICI223;ARQUIVO INTERMEDIÁRIO                                       ;68
ICIA09;PRESERVAÇÃO DE ACERVOS                                      ;68
ICIA11;DESCRIÇÃO ARQUIVÍSTICA                                      ;68
LET053;INGLES INSTRUMENTAL I  N-100                                ;51
LET400;PALEOGRAFIA E DIPLOMATICA I                                 ;68
ICIA12;ARQUIVOS PERMANENTES                                        ;68
ICIA14;TIPOLOGIA DOCUMENTAL                                        ;68
ICIA15;DISSEMINAÇÃO DA INFORMAÇÃO ARQUIVÍSTICA                     ;68
ICIA16;METODOLOGIA DA PESQUISA CIENTÍFICA                          ;102
ICIA17;ESTÁGIO                                                     ;306
ICI024;POLÍTICAS DE ARQUIVOS                                       ;68
ICIA41;PLANEJAMENTO DE UNIDADE DE INFORMAÇÃO                       ;68
ICIB01;TRABALHO DE CONCLUSÃO DE CURSO I                            ;68
ICIB02;TRABALHO DE CONCLUSÃO DE CURSO II                           ;204
ICIA25;AÇÃO CULTURAL E EDUCACIONAL NOS ARQUIVOS                    ;68
ICIA31;ARQUIVO DE ENGENHARIA                                       ;68
ICI209;ARQUIVO DE UNIDADES MEDICAS                                 ;68
ICI218;ARQUIVO E CULTURA BRASILEIRA                                ;68
ICIA24;ARQUIVO, MEMÓRIA E SOCIEDADE                                ;68
ICIA42;ARQUIVOS DE INSTITUIÇÕES DE ENSINO                          ;34
ICIA26;ARQUIVOS EMPRESARIAIS                                       ;68
MAT021;ESTATISTICA I B                                             ;68
ICI012;GERAÇÃO DE BASES DE DADOS E DOCUMENTACAO                    ;68
ICI224;GERENCIAMENTO ELETRÔNICO DE DOCUMENTOS                      ;68
ICIA30;GESTÃO ARQUIVÍSTICA DE DOCUMENTOS ELETRÔNICOS               ;68
ICI023;GESTÃO DE ARQUIVOS E SERVIÇOS ARQUIVÍSTICOS                 ;68
LET054;INGLES INSTRUMENTAL II  N-100                               ;51
FCH004;LOGICA I                                                    ;68
ICIA21;MARKETING EM SERVIÇOS DE INFORMAÇÃO                         ;34
ICIA27;ORG. E PRESERV. DE ACERVOS SONOROS E AUDIOVISUAIS           ;68
ICIA19;ORGANIZAÇÃO E PRESERVAÇÃO DE ACERVOS FOTOGRÁFICOS           ;34
LET401;PALEOGRAFIA E DIPLOMATICA II                                ;68
ICIA40;PRESERVAÇÃO DIGITAL                                         ;68
ICI019;QUALIDADE EM SERVIÇOS DE INFORMAÇÃO                         ;51
ICIA28;REPRESENTAÇÃO E RECUPERAÇÃO DE IMAGENS                      ;68
ICIA22;SISTEMA DE INFORMAÇÃO GERENCIAL                             ;68
ICIA32;TÓPICOS ESPECIAIS EM ARQUIVOLOGIA I                         ;34
ICIA33;TÓPICOS ESPECIAIS EM ARQUIVOLOGIA II                        ;34
ICIA34;TÓPICOS ESPECIAIS EM ARQUIVOLOGIA III                       ;34
ICIA35;TÓPICOS ESPECIAIS EM ARQUIVOLOGIA IV                        ;34
ICI019;QUALIDADE EM SERVIÇOS DE INFORMAÇÃO                         ;34
TEAA14;Poéticas da Encenação                                       ;68
TEAA15;Jogos e Improvisação Teatral                                ;136
TEAA21;História do Teatro no Brasil e na Bahia                     ;68
TEAA16;História do Teatro Ocidental da Antiguidade Clássica ao Rom ;68
TEAA20;Formas de Atuação Cênica                                    ;136
TEAA17;História do Teatro Ocidental Moderno e Contemporâneo        ;68
TEAA18;Processos de Encenação                                      ;136
TEA192;Dramaturgia I                                               ;68
TEA277;Iluminação I                                                ;68
TEAA24;Laboratório de Direção Teatral: A Cena Fechada              ;204
TEAA22;Elementos Plásticos da Cena: Figurino e Maquiagem           ;68
TEAA23;Laboratório de Direção Teatral: A Cena Aberta               ;204
TEA276;Cenografia I                                                ;68
TEAA25;Laboratório de Direção Teatral: Teatro, Rito e Performance  ;204
TEA259;Produção Teatral                                            ;68
TEAA26;Direção de Espetáculo Teatral I                             ;204
TEAA44;Direção de Espetáculo Teatral II                            ;272
TEA214;ADMINISTRACAO TEATRAL                                       ;68
TEA085;DICCAO I                                                    ;68
TEA060;ELEMENTOS DE TEATRO I                                       ;51
TEA052;ESTUDO DE TEXTOS DRAMÁTICOS BRASILEIROS                     ;51
TEA266;FUND EXPRES COMUNICACAO HUMANA                              ;102
TEA091;FUNDAMENTOS DA DICCAO I                                     ;51
TEA092;FUNDAMENTOS DA DICCAO II                                    ;51
TEA090;FUNDAMENTOS DA INTERPRETACAO                                ;51
TEA089;FUNDAMENTOS DO ESPETACULO                                   ;51
TEA274;HISTORIA TEATRO UNIVERS III-A                               ;68
TEA196;INDUMENTARIA I                                              ;51
TEA197;INDUMENTARIA II                                             ;51
TEA242;MAQUILAGEM I                                                ;85
TEA003;TECNICAS BASICAS DO TEATRO                                  ;68
TEAA27;Laboratório de Interpretação Teatral: A Personagem Dramática;204
TEAA28;Laboratório de Interpretação Teatral: O Ator Narrador       ;204
TEAA29;Laboratório de Interpretação Teatral: Teatro, Rito e perform;204
TEAA30;Atuação em Espetáculo Teatral I                             ;204
TEAA45;Atuação em Espetáculo Teatral II                            ;272
EBA001;HISTORIA DA ARTE I                                          ;68
EBA013;DESENHO I-A                                                 ;85
EBA133;EXPRESSAO TRIDIMENSIONAL I                                  ;102
FCH002;ESTETICA I                                                  ;68
ARQ003;DESCRITIVA I                                                ;102
EBA014;DESENHO II-A                                                ;85
EBA134;EXPRESSAO TRIDIMENSIONAL II                                 ;102
FCH180;ESTETICA II                                                 ;68
ICS011;ANATOMIA ARTÍSTICA                                          ;51
EBA015;DESENHO III-A                                               ;102
EBA017;TECNICAS  DE  REPRESENTAÇÃO  GRAFICA  I-A                   ;68
EBA105;TEORIA E TECNICA DA PINTURA                                 ;85
EBA135;EXPRESSAO TRIDIMENSIONAL III                                ;102
EBA138;TEORIA DA PERCEPCAO VISUAL                                  ;68
EBA002;HISTORIA DA ARTE II                                         ;68
EBA016;DESENHO IV-A                                                ;102
EBA107;PINTURA I                                                   ;102
EBA136;EXPRESSAO TRIDIMENSIONAL IV                                 ;102
EBA140;GRAVURA I-A                                                 ;102
EBA108;PINTURA II                                                  ;102
EBA137;DESENHO V                                                   ;102
EBA139;EXPRESSAO TRIDIMENSIONAL V                                  ;102
EBA141;GRAVURA II-A                                                ;68
EBA181;HISTORIA DA ARTE CONTEMPORANEA I                            ;102
EBA010;HISTORIA DA ARTE BRASILEIRA                                 ;68
EBA115;COMPOSICAO DECORATIVA I                                     ;102
EBA143;DESENHO VI                                                  ;102
EBA147;GRAVURA IV                                                  ;68
ARQ009;INTRODUCAO A ARQUITETURA                                    ;68
EBA154;METODOLOGIA  DO  PROJETO                                    ;102
EBA168;ESTAGIO SUPERVISIONADO I                                    ;102
FCH128;CULTURA BRASILEIRA                                          ;51
EBA178;PRÁTICA PROFISSIONAL                                        ;136
EBA116;COMPOSICAO DECORATIVA II                                    ;102
